Country,Total,'C1: Security Apparatus','C2: Factionalized Elites','C3: Group Grievance','E1: Economy','E2: Economic Inequality','E3: Human Flight and Brain Drain','P1: State Legitimacy','P2: Public Services','P3: Human Rights','S1: Demographic Pressures','S2: Refugees and IDPs','X1: External Intervention'
Uruguay,Stable,'\'(3.25-5.5]\'','\'(-inf-3.25]\'','\'(-inf-3.475]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\''
'United States',Stable,'\'(-inf-3.25]\'','\'(3.25-5.5]\'','\'(5.65-7.825]\'','\'(-inf-3.4]\'','\'(3.25-5.5]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\''
France,Stable,'\'(3.25-5.5]\'','\'(-inf-3.25]\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\''
'United Kingdom',Stable,'\'(-inf-3.25]\'','\'(3.25-5.5]\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\''
Singapore,Stable,'\'(-inf-3.25]\'','\'(3.25-5.5]\'','\'(-inf-3.475]\'','\'(-inf-3.4]\'','\'(3.25-5.5]\'','\'(-inf-3.425]\'','\'(3.1-5.4]\'','\'(-inf-3.25]\'','\'(3.2-5.4]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\''
Slovenia,Stable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(3.775-5.85]\'','\'(-inf-3.25]\''
Belgium,Stable,'\'(-inf-3.25]\'','\'(3.25-5.5]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\''
Portugal,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(-inf-3.475]\'','\'(3.4-5.6]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\''
Germany,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(3.775-5.85]\'','\'(-inf-3.25]\''
Austria,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(3.775-5.85]\'','\'(-inf-3.25]\''
Netherlands,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(3.775-5.85]\'','\'(-inf-3.25]\''
Luxembourg,Sustainable,'\'(-inf-3.25]\'','\'(3.25-5.5]\'','\'(-inf-3.475]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\''
Canada,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(-inf-3.475]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\''
'New Zealand',Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\''
Iceland,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(-inf-3.475]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(3.25-5.5]\''
Australia,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\''
Ireland,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(-inf-3.475]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\''
Sweden,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(-inf-3.475]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(3.775-5.85]\'','\'(-inf-3.25]\''
Denmark,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\''
Switzerland,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\''
Norway,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\''
Finland,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(-inf-3.475]\'','\'(3.4-5.6]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\''
